business_id,reporting_period,maintenance_category_key,metric_id,metric_value,metric_unit,metric_status,source_value,source_workbook,source_sheet,source_row
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_switchbays,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,16
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_switchbays,maintenance_cycle_years,6.0,years,numeric,6.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,16
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_power_transformers,asset_quantity_at_year_end,174.0,count,numeric,174.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_power_transformers,quantity_inspected_maintained,671.0,count,numeric,671.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_power_transformers,average_age_of_asset_group,25.11025641025641,years,numeric,25.11025641025641,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_power_transformers,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_power_transformers,maintenance_cycle_years,4.0,years,numeric,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_property,asset_quantity_at_year_end,47.0,count,numeric,47.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_property,quantity_inspected_maintained,1660.0,count,numeric,1660.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_property,average_age_of_asset_group,30.0,years,numeric,30.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
