business_id,reporting_period,maintenance_category_key,routine_expenditure_aud,routine_expenditure_status,non_routine_expenditure_aud,non_routine_expenditure_status,total_expenditure_aud,total_expenditure_status,currency,price_basis,installed_quantity,installed_quantity_status,serviced_quantity,serviced_quantity_status,denominator_unit,relationship_status,installed_ratio_status,serviced_ratio_status,source_workbook,source_sheet,source_row,descriptor_source_workbook,descriptor_source_sheet,descriptor_source_row
ausnet_transmission,2020-21,transmission_lines_maintenance::conductors,1301577.8191408718,numeric,126928.4625234925,numeric,1428506.2816643645,numeric,AUD,nominal,5024.7,numeric,1674.9,numeric,km,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,52,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14.0
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,7727.256762510452,numeric,35359.77096944002,numeric,43087.02773195047,numeric,AUD,nominal,8.542370333333334,numeric,17.08474066666667,numeric,km,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,53,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15.0
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,2718726.328680422,numeric,2782992.6607578387,numeric,5501718.989438261,numeric,AUD,nominal,1158.0,numeric,2173.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,54,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16.0
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,1804333.001472167,numeric,2396225.946977211,numeric,4200558.948449378,numeric,AUD,nominal,173.0,numeric,1173.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,55,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17.0
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_property,373523.9204519498,numeric,2917832.530940347,numeric,3291356.4513922967,numeric,AUD,nominal,47.0,numeric,1277.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,56,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,18.0
ausnet_transmission,2020-21,scada_network_control_maintenance::scada_network_control,494177.9992198432,numeric,602762.492704215,numeric,1096940.4919240582,numeric,AUD,nominal,20989.54821,numeric,10494.774104999997,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,57,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,19.0
ausnet_transmission,2020-21,protection_systems_maintenance::protection_systems,610452.9461243512,numeric,1055964.482481628,numeric,1666417.4286059793,numeric,AUD,nominal,6555.000000000003,numeric,4370.000000000002,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,58,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,20.0
ausnet_transmission,2021-22,transmission_lines_maintenance::transmission_towers,1151669.7852612073,numeric,177756.19650105145,numeric,1329425.9817622588,numeric,AUD,nominal,13205.0,numeric,14672.222222222224,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,50,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,12.0
ausnet_transmission,2021-22,transmission_lines_maintenance::transmission_tower_support_structures,282416.586784404,numeric,23167.900443144543,numeric,305584.4872275485,numeric,AUD,nominal,70460.0,numeric,46973.333333333336,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,51,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,13.0
ausnet_transmission,2021-22,transmission_lines_maintenance::conductors,984155.484102794,numeric,5306.700985895725,numeric,989462.1850886896,numeric,AUD,nominal,6611.465,numeric,2203.8216666666667,numeric,km,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,52,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,14.0
ausnet_transmission,2021-22,transmission_lines_maintenance::transmission_cables,0.0,numeric,3339.4102755443664,numeric,3339.4102755443664,numeric,AUD,nominal,8.542370333333334,numeric,17.08474066666667,numeric,km,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,53,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,15.0
ausnet_transmission,2021-22,substations_equipment_property_maintenance::substation_switchbays,4635055.651136602,numeric,6708283.324724818,numeric,11343338.97586142,numeric,AUD,nominal,1216.0,numeric,4310.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,54,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,16.0
ausnet_transmission,2021-22,substations_equipment_property_maintenance::substation_power_transformers,1167823.426612792,numeric,2158755.4960138574,numeric,3326578.922626649,numeric,AUD,nominal,184.0,numeric,1255.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,55,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,17.0
ausnet_transmission,2021-22,substations_equipment_property_maintenance::substation_property,908839.0131524244,numeric,3291536.11676183,numeric,4200375.129914255,numeric,AUD,nominal,47.0,numeric,1164.0,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,56,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,18.0
ausnet_transmission,2021-22,scada_network_control_maintenance::scada_network_control,514547.98277334135,numeric,186549.55619921075,numeric,701097.5389725522,numeric,AUD,nominal,21368.54821,numeric,10684.274105,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,57,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,19.0
ausnet_transmission,2021-22,protection_systems_maintenance::protection_systems,761087.580176445,numeric,228260.2580946501,numeric,989347.8382710952,numeric,AUD,nominal,6696.999999999999,numeric,4464.666666666666,numeric,count,matched_with_denominator,calculated,calculated,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,58,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,20.0
ausnet_transmission,2022-23,transmission_lines_maintenance::transmission_towers,303350.63676480687,numeric,186151.8396739064,numeric,489502.47643871326,numeric,AUD,nominal,13196.0,numeric,14662.222222222224,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,50,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,12.0
ausnet_transmission,2022-23,transmission_lines_maintenance::transmission_tower_support_structures,431111.2623950912,numeric,31542.373881132124,numeric,462653.6362762233,numeric,AUD,nominal,70616.0,numeric,47077.333333333336,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,51,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,13.0
ausnet_transmission,2022-23,transmission_lines_maintenance::conductors,649550.3322267368,numeric,11125.308224171336,numeric,660675.6404509081,numeric,AUD,nominal,6611.465,numeric,2203.8216666666667,numeric,km,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,52,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,14.0
ausnet_transmission,2022-23,transmission_lines_maintenance::transmission_cables,2811.911978976268,numeric,5973.351785336195,numeric,8785.263764312462,numeric,AUD,nominal,8.542370333333333,numeric,17.084740666666665,numeric,km,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,53,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,15.0
ausnet_transmission,2022-23,substations_equipment_property_maintenance::substation_switchbays,5181950.527072666,numeric,8463584.843790919,numeric,13645535.370863585,numeric,AUD,nominal,1218.0,numeric,8005.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,54,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,16.0
ausnet_transmission,2022-23,substations_equipment_property_maintenance::substation_power_transformers,1032729.1031327124,numeric,873400.8477039216,numeric,1906129.950836634,numeric,AUD,nominal,184.0,numeric,2095.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,55,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,17.0
ausnet_transmission,2022-23,substations_equipment_property_maintenance::substation_property,451981.2991740275,numeric,891420.6670553482,numeric,1343401.9662293757,numeric,AUD,nominal,47.0,numeric,1857.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,56,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,18.0
ausnet_transmission,2022-23,scada_network_control_maintenance::scada_network_control,620701.7028938896,numeric,153568.09177399485,numeric,774269.7946678845,numeric,AUD,nominal,20981.11759000001,numeric,10490.558795000004,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,57,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,19.0
ausnet_transmission,2022-23,protection_systems_maintenance::protection_systems,651916.9743609835,numeric,1040363.146111124,numeric,1692280.1204721075,numeric,AUD,nominal,6680.999999999999,numeric,4453.999999999999,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,58,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,20.0
ausnet_transmission,2023-24,transmission_lines_maintenance::transmission_towers,767347.1720707123,numeric,2259402.663702387,numeric,3026749.835773099,numeric,AUD,nominal,13180.0,numeric,14644.444444444443,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,51,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,13.0
ausnet_transmission,2023-24,transmission_lines_maintenance::transmission_tower_support_structures,221107.543276072,numeric,29938.77775902904,numeric,251046.32103510105,numeric,AUD,nominal,62770.0,numeric,41846.66666666666,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,52,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,14.0
ausnet_transmission,2023-24,transmission_lines_maintenance::conductors,0.0,numeric,114.46207713950636,numeric,114.46207713950636,numeric,AUD,nominal,6533.498306666666,numeric,2177.832768888889,numeric,km,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,53,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,15.0
ausnet_transmission,2023-24,transmission_lines_maintenance::transmission_cables,124433.2806590153,numeric,6188.694593488294,numeric,130621.9752525036,numeric,AUD,nominal,8.542370333333333,numeric,17.084740666666665,numeric,km,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,54,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,16.0
ausnet_transmission,2023-24,substations_equipment_property_maintenance::substation_switchbays,2622187.4477434964,numeric,3004854.5385221564,numeric,5627041.986265653,numeric,AUD,nominal,1058.0,numeric,2223.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,55,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,17.0
ausnet_transmission,2023-24,substations_equipment_property_maintenance::substation_power_transformers,2060587.3099249564,numeric,1138987.2617007678,numeric,3199574.5716257244,numeric,AUD,nominal,161.0,numeric,1635.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,56,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,18.0
ausnet_transmission,2023-24,substations_equipment_property_maintenance::substation_property,7873801.517888695,numeric,546453.2271714616,numeric,8420254.745060157,numeric,AUD,nominal,47.0,numeric,997.0,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,57,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,19.0
ausnet_transmission,2023-24,scada_network_control_maintenance::scada_network_control,972460.0689325116,numeric,607190.9563218385,numeric,1579651.0252543502,numeric,AUD,nominal,19503.18169,numeric,9751.590844999995,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,58,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,20.0
ausnet_transmission,2023-24,protection_systems_maintenance::protection_systems,1242040.8695045535,numeric,1011388.4081517302,numeric,2253429.277656284,numeric,AUD,nominal,5401.000000000001,numeric,3600.6666666666674,numeric,count,matched_with_denominator,calculated,calculated,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,59,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,21.0
transgrid,2013-14,transmission_lines_maintenance::transmission_towers,4549413.082222306,numeric,5236667.338758201,numeric,9786080.420980508,numeric,AUD,nominal,37650.0,numeric,28150.0,numeric,count,matched_with_denominator,calculated,calculated,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,12,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,12.0
transgrid,2013-14,transmission_lines_maintenance::transmission_tower_support_structures,0.0,numeric,0.0,numeric,0.0,numeric,AUD,nominal,0.0,numeric,0.0,numeric,count,matched_with_denominator,nonpositive_denominator,nonpositive_denominator,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,13,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,13.0
transgrid,2013-14,transmission_lines_maintenance::conductors,2611.3454210315067,numeric,614800.2147956536,numeric,617411.5602166851,numeric,AUD,nominal,11258.618,numeric,47.486,numeric,km,matched_with_denominator,calculated,calculated,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,14,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,14.0
