reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2021-22,Transmission lines maintenance,Transmission cables,Route length,km,8.542370333333334,17.08474066666667,28.134999999999994,1.0,1.0,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,15
2021-22,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1216.0,4310.0,23.139409426462237,1.0,6.0,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,16
2021-22,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,184.0,1255.0,28.809782608695652,1.0,4.0,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,17
2021-22,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,47.0,1164.0,30.0,0.083,0.5,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,18
2021-22,SCADA & network control maintenance,SCADA & network control maintenance,Units,,21368.54821,10684.274105,18.277856524547104,4.0,4.0,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,19
2021-22,Protection systems maintenance,Protection systems maintenance,Units,,6696.999999999999,4464.666666666666,17.039999530254704,3.0,3.0,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,20
2021-22,Other maintenance activity ,,,,,,,,,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,21
2022-23,Transmission lines maintenance,Transmission towers,Number of towers,0's,13196.0,14662.222222222223,52.79770934466019,1.0,9.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,12
2022-23,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,70616.0,47077.333333333336,50.040933521018616,3.0,3.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,13
2022-23,Transmission lines maintenance,Conductors,Route length,km,6611.465,2203.8216666666667,46.17143016090654,3.0,0.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,14
