reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row,business,landing_page_url,source_page_url,metadata_match_status,maintenance_activity_resolved,activity_resolution_status,activity_anchor_source_row,row_classification,analytic_row_eligible,maintenance_activity_standard_id,maintenance_activity_standard,maintenance_asset_standard_id,maintenance_asset_standard,activity_mapping_status,asset_mapping_status,currency_standard,price_basis,currency_scale_factor,currency_unit_status,routine_maintenance_expenditure_standard,routine_maintenance_expenditure_status,non_routine_maintenance_expenditure_standard,non_routine_maintenance_expenditure_status,total_maintenance_expenditure_standard,total_maintenance_expenditure_status,relationship_status,descriptor_source_workbook,descriptor_source_sheet,descriptor_source_row,denominator_unit_standard,installed_quantity_standard,installed_quantity_status,serviced_quantity_standard,serviced_quantity_status,installed_ratio_unit,installed_ratio_status,serviced_ratio_unit,serviced_ratio_status,routine_expenditure_per_installed_unit,non_routine_expenditure_per_installed_unit,total_expenditure_per_installed_unit,routine_expenditure_per_serviced_unit,non_routine_expenditure_per_serviced_unit,total_expenditure_per_serviced_unit
2020-21,Transmission lines maintenance,Transmission tower support structures,$0's,249660.1924483811,104794.97872496456,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,51,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,51,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,249660.1924483811,numeric,104794.97872496456,numeric,354455.17117334565,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13,count,69605.0,numeric,46403.333333333336,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,3.586814057156542,1.50556682314438,5.092380880300921,5.380221085734813,2.25835023471657,7.638571320451382
2020-21,Transmission lines maintenance,Conductors,$0's,1301577.8191408718,126928.4625234925,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,52,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,52,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1301577.8191408718,numeric,126928.4625234925,numeric,1428506.2816643643,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14,km,5024.7,numeric,1674.9,numeric,nominal_AUD_per_km,calculated,nominal_AUD_per_km,calculated,259.0359263519955,25.260903640713376,284.29682999270887,777.1077790559864,75.78271092214013,852.8904899781265
2020-21,Transmission lines maintenance,Transmission cables,$0's,7727.256762510452,35359.77096944002,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,53,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,53,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,7727.256762510452,numeric,35359.77096944002,numeric,43087.02773195047,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15,km,8.542370333333334,numeric,17.08474066666667,numeric,nominal_AUD_per_km,calculated,nominal_AUD_per_km,calculated,904.5799305091922,4139.339502931877,5043.9194334410695,452.2899652545961,2069.6697514659386,2521.9597167205347
2020-21,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,2718726.328680422,2782992.6607578387,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,54,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,54,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,AUD,nominal,1.0,standardized_source_unit,2718726.328680422,numeric,2782992.6607578387,numeric,5501718.989438261,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16,count,1158.0,numeric,2173.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,2347.7774859071005,2403.275182001588,4751.052667908688,1251.1395898207188,1280.7145240487064,2531.854113869425
2020-21,Substations equipment & property maintenance,Substation power transformers,$0's,1804333.001472167,2396225.946977211,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,55,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,55,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1804333.001472167,numeric,2396225.946977211,numeric,4200558.948449378,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17,count,173.0,numeric,1173.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,10429.67052874085,13851.017034550354,24280.6875632912,1538.220802619068,2042.818369119532,3581.0391717386
2020-21,Substations equipment & property maintenance,Substation property,$0's,373523.9204519498,2917832.530940347,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,56,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,56,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,373523.9204519498,numeric,2917832.530940347,numeric,3291356.4513922967,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,18,count,47.0,numeric,1277.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,7947.317456424465,62081.54321149674,70028.86066792121,292.5011123351212,2284.9119271263485,2577.4130394614695
2020-21,SCADA & network control maintenance,SCADA & network control maintenance,$0's,494177.9992198432,602762.492704215,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,57,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,SCADA & network control maintenance,submitted,57,meaningful,True,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,494177.9992198432,numeric,602762.492704215,numeric,1096940.4919240582,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,19,count,20989.548209999997,numeric,10494.774104999997,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,23.54400362864424,28.717268550689546,52.26127217933379,47.08800725728849,57.43453710137911,104.5225443586676
2020-21,Protection systems maintenance,Protection systems maintenance,$0's,610452.9461243512,1055964.482481628,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,58,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Protection systems maintenance,submitted,58,meaningful,True,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,610452.9461243512,numeric,1055964.482481628,numeric,1666417.4286059793,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,20,count,6555.000000000003,numeric,4370.000000000002,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,93.12783312347078,161.09297978361977,254.22081290709056,139.69174968520616,241.63946967542964,381.3312193606358
2021-22,Transmission lines maintenance,Transmission towers,$0's,1151669.7852612073,177756.19650105145,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,50,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,50,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1151669.7852612073,numeric,177756.19650105145,numeric,1329425.9817622588,numeric,matched_with_denominator,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,12,count,13205.0,numeric,14672.222222222224,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,87.21467514284038,13.461279553279171,100.67595469611956,78.49320762855633,12.115151597951252,90.60835922650759
2021-22,Transmission lines maintenance,Transmission tower support structures,$0's,282416.586784404,23167.900443144543,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,51,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,51,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,282416.586784404,numeric,23167.900443144543,numeric,305584.48722754855,numeric,matched_with_denominator,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,13,count,70460.0,numeric,46973.333333333336,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,4.008183178887369,0.32880925976645675,4.336992438653826,6.012274768331053,0.4932138896496851,6.505488657980738
