source_workbook,extraction_status,run_report_reporting_period,extracted_reporting_period,manifest_local_filename,business,manifest_reporting_period,landing_page_url,source_page_url,metadata_match_status
ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,success,2018-19,2018-19,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,ElectraNet,2018-19,https://www.aer.gov.au/documents/electranet-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=2,validated_manifest_match
ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,success,2019-20,2019-20,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,ElectraNet,2019-20,https://www.aer.gov.au/documents/electranet-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=1,validated_manifest_match
ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,success,2020-21,2020-21,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,ElectraNet,2020-21,https://www.aer.gov.au/documents/electranet-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=6,validated_manifest_match
ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,success,2021-22,2021-22,ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,ElectraNet,2021-22,https://www.aer.gov.au/documents/electranet-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=21,validated_manifest_match
ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,success,2022-23,2022-23,ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,ElectraNet,2022-23,https://www.aer.gov.au/documents/electranet-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=8,validated_manifest_match
ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,success,2023-24,2023-24,ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,ElectraNet,2023-24,https://www.aer.gov.au/documents/electranet-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=23,validated_manifest_match
Powerlink 2019-20 - Category Analysis - RIN Response - Consolidated - 23 October 2020 - PUBLIC (11647526.2).xlsx,success,2019-20,2019-20,Powerlink 2019-20 - Category Analysis - RIN Response - Consolidated - 23 October 2020 - PUBLIC (11647526.2).xlsx,Powerlink,2019-20,https://www.aer.gov.au/documents/powerlink-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=Powerlink+2019%E2%80%9320,validated_manifest_match
Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,success,2020-21,2020-21,Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,Powerlink,2020-21,https://www.aer.gov.au/documents/powerlink-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=11,validated_manifest_match
Powerlink 2021-22 - Category analysis - Consolidated - 26 October 2022 - PUBLIC(14556313.1).xlsx,success,2021-22,2021-22,Powerlink 2021-22 - Category analysis - Consolidated - 26 October 2022 - PUBLIC(14556313.1).xlsx,Powerlink,2021-22,https://www.aer.gov.au/documents/powerlink-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=12,validated_manifest_match
Powerlink 2022-23 - Category Analysis - RIN Response - Consolidated - 27 October 2023 - PUBLIC(15996094.1).xlsx,success,2022-23,2022-23,Powerlink 2022-23 - Category Analysis - RIN Response - Consolidated - 27 October 2023 - PUBLIC(15996094.1).xlsx,Powerlink,2022-23,https://www.aer.gov.au/documents/powerlink-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=12,validated_manifest_match
Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,success,2023-24,2023-24,Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,Powerlink,2023-24,https://www.aer.gov.au/documents/powerlink-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=3,validated_manifest_match
Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,success,2018-19,2018-19,Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,Transgrid,2018-19,https://www.aer.gov.au/documents/transgrid-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=2,validated_manifest_match
"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",success,2019-20,2019-20,"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",Transgrid,2019-20,https://www.aer.gov.au/documents/transgrid-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=3,validated_manifest_match
TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,success,2020-21,2020-21,TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,Transgrid,2020-21,https://www.aer.gov.au/documents/transgrid-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,validated_manifest_match
Transgrid 2021-22 - Category Analysis - RIN Response - Consolidated - 31 October 2022 - PUBLIC(14550262.2).xlsx,success,2021-22,2021-22,Transgrid 2021-22 - Category Analysis - RIN Response - Consolidated - 31 October 2022 - PUBLIC(14550262.2).xlsx,Transgrid,2021-22,https://www.aer.gov.au/documents/transgrid-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/search?search=Transgrid+2021%E2%80%9322,validated_manifest_match
Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,success,2022-23,2022-23,Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,Transgrid,2022-23,https://www.aer.gov.au/documents/transgrid-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,validated_manifest_match
Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,success,2023-24,2023-24,Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,Transgrid,2023-24,https://www.aer.gov.au/documents/transgrid-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,validated_manifest_match
